Start,End,Open,High,Low,Close,Volume,Market Cap
2024-01-01,2024-01-02,312.8798,315.579,307.761,314.229,1179764543.041812,47252044432.376305
2023-12-25,2024-01-01,264.0105,337.0712,262.3053,312.1512,2278686920.1180315,45445516462.03397
2023-12-18,2023-12-25,239.8095,276.0881,233.121,264.5654,1419492929.9777875,38982524093.991295
2023-12-11,2023-12-18,240.2223,256.4996,231.1491,239.5437,1635939188.4845192,37334628394.724
2023-12-04,2023-12-11,228.4346,245.0122,227.1254,239.92,1498822828.359756,35518270195.81925
2023-11-27,2023-12-04,232.0906,232.9909,223.2739,228.1085,819490425.8140391,34649113628.98886
2023-11-20,2023-11-27,246.5035,269.468,226.1564,232.272,1819545765.5658584,36480064936.49602
2023-11-13,2023-11-20,247.3679,255.7207,236.4937,246.7453,1057881184.0879791,37270239605.51306
2023-11-06,2023-11-13,243.8961,257.4037,242.3995,247.7412,1208132031.831446,37782438421.442505
2023-10-30,2023-11-06,227.6552,245.7179,223.2665,244.5916,754668108.1206446,34983482579.27047
2023-10-23,2023-10-30,218.2201,237.0077,217.5271,227.444,974203303.8789994,34093317878.027363
2023-10-16,2023-10-23,209.9726,217.9133,208.7343,217.7581,649384581.917683,32329855688.358013
2023-10-09,2023-10-16,211.6282,212.326,203.3133,209.6114,695717099.7092917,31883527143.695892
2023-10-02,2023-10-09,218.2489,221.0327,209.8072,211.4633,703096200.0875435,32919494467.57012
2023-09-25,2023-10-02,208.4682,218.9345,207.7228,218.0884,644989803.8266551,32754758336.12282
2023-09-18,2023-09-25,216.5796,220.9474,208.0932,208.4277,674868798.9792465,32961053568.20716
2023-09-11,2023-09-18,212.4335,216.702,204.5827,216.5779,721646888.5979966,32596911285.8493
2023-09-04,2023-09-11,214.5604,218.1275,211.6461,212.4459,565153212.1302265,33048112350.896343
2023-08-28,2023-09-04,218.381,232.8989,211.8428,214.5448,737468339.6328397,33601296580.358448
2023-08-21,2023-08-28,216.795,220.4078,204.2946,218.5028,926580044.2334495,33065366253.206882
2023-08-14,2023-08-21,240.1744,241.1206,213.2091,216.5903,892967791.266115,35261700799.038765
2023-08-07,2023-08-14,243.4797,247.6525,238.4235,240.2027,769866170.791812,37243451664.26437
2023-07-31,2023-08-07,242.7748,248.3788,238.2389,242.9458,996621779.0454655,37361349497.28439
2023-07-24,2023-07-31,242.6708,244.039,236.4439,242.7557,789190370.5431185,36987731572.69425
2023-07-17,2023-07-24,241.4675,246.5221,238.9196,242.5271,1197454937.5008712,37611256797.466034
2023-07-10,2023-07-17,233.9018,261.1496,232.1227,242.4447,1601402237.6702962,38418619602.028305
2023-07-03,2023-07-10,246.7842,250.2897,232.0116,234.1398,1255522077.4337978,37517753167.49652
2023-06-26,2023-07-03,238.4813,248.5577,226.9544,246.3013,1249761739.6559231,37233541202.677704
2023-06-19,2023-06-26,245.1093,257.4489,232.4886,241.2603,1564632390.2277875,38155922191.162895
2023-06-12,2023-06-19,237.8929,251.8011,222.4423,245.4295,2121363399.8554008,37245465646.40375
2023-06-05,2023-06-12,303.0498,304.5268,234.233,237.7799,1948116392.5077925,41694793214.04471
2023-05-29,2023-06-05,314.2169,316.7515,303.1757,304.5843,1195217224.3401568,48168788343.342766
2023-05-22,2023-05-29,306.9348,315.497,303.1993,314.6,1022140564.392744,48118531020.28656
2023-05-15,2023-05-22,311.3978,315.6492,306.8174,307.1182,1012118987.0023849,48534575212.62844
2023-05-08,2023-05-15,321.9431,323.3277,302.3452,312.2036,1291905979.1239185,48717749252.39227
2023-05-01,2023-05-08,335.8583,337.4433,320.1508,321.6885,1904998903.4506369,50786292964.70963
2023-04-24,2023-05-01,328.4962,342.4069,318.8159,336.1457,2011823763.5269463,51147569482.97951
2023-04-17,2023-04-24,347.35092709652287,349.0410056828841,315.1417,328.5986,2035681838.332478,51734471323.38557
2023-04-10,2023-04-17,312.356874297362,349.37644286823473,310.9126,347.3628770757194,1630443707.4241273,51011617745.04325
2023-04-03,2023-04-10,313.1666,315.7395,302.1171469922046,311.9699,1323102387.5503097,49112223995.411156
2023-03-27,2023-04-03,327.43266593900074,327.61030704381324,306.5993,312.4645,1480907850.5555558,49846813852.412735
2023-03-20,2023-03-27,336.6182,339.3868,317.992,327.569099249737,1890619968.6390839,52003679449.6274
2023-03-13,2023-03-20,289.5811881740868,345.7865446310831,287.6481,336.1812,2711620342.7761135,50361564895.66006
2023-03-06,2023-03-13,289.4363,293.35325291257385,265.6937,289.48152972782486,1350923301.4437609,44981285757.97279
2023-02-27,2023-03-06,309.0915,309.5958,287.288,289.3387,1069670550.9692218,47813474330.17308
2023-02-20,2023-02-27,312.1096,319.474,298.0626,309.0607,1527881232.2635503,49557399274.37632
2023-02-13,2023-02-20,313.0027,325.3975,284.6958,312.0788,2785979130.4078016,49109790866.722824
2023-02-06,2023-02-13,328.5823840819688,335.6081,304.1214,312.78529318057315,1813058851.4722223,51261787554.6651
2023-01-30,2023-02-06,318.3408,337.8932256942817,305.2716,328.84892781467727,2221010738.5,51316705455.75413
2023-01-23,2023-01-30,304.8167,323.5354233125126,296.0211,318.5559,1985318602.5,49334677531.11859
2023-01-16,2023-01-23,303.16780857529454,311.3319996890158,284.6687067029215,304.8393,1823352061.1111112,47986276108.78047
2023-01-09,2023-01-16,275.9390136270946,315.0360438924825,273.1956,303.0099771923334,1952214549.9444447,45931565611.2404
2023-01-02,2023-01-09,245.8169532490083,275.27613976745755,243.16034353994058,274.6858372626127,1113576449.4444444,40868859047.07342
2022-12-26,2023-01-02,244.52934651073934,248.727,243.3371747596158,245.5317114129279,986986180.0216802,39290033437.899284
2022-12-19,2022-12-26,251.78336445631052,253.2273564806673,239.543,244.37705634450316,1692453931.8226864,39548398767.117226
2022-12-12,2022-12-19,285.4252419503341,286.6866378283374,221.613,252.32481876809464,2924750780.5555553,42122326281.620964
2022-12-05,2022-12-12,292.63511220882344,297.18424079255317,282.9847,285.44738441021354,1232518865.0869145,46340714107.075745
2022-11-28,2022-12-05,308.915677040705,310.0517,286.7979,292.7971658942835,2323317824.066589,47201855900.209366
2022-11-21,2022-11-28,265.3008,317.10102495944653,251.766,308.35477783215634,2756628027.8815336,45803576864.357155
2022-11-14,2022-11-21,279.34463132901925,290.1465948123413,264.4357,265.4051,2150870389.651471,44018865901.43191
2022-11-07,2022-11-14,339.5868,386.8732142855735,262.4126269482735,279.3721569474037,5167913066.722222,49415179338.6404
2022-10-31,2022-11-07,313.5075,359.8085805823547,308.1296,340.8374,3429481515.9444447,53805866252.59392
2022-10-24,2022-10-31,276.6082,316.7694,272.1333,313.667,1795860497.9444447,46560861835.453995
2022-10-17,2022-10-24,272.715227933131,277.099,265.2724,276.2893,1036983155.17741,43888244762.41572
2022-10-10,2022-10-17,278.3905,279.2021,258.8348,272.5568489127786,1396976791.706446,43918270085.21085
2022-10-03,2022-10-10,284.32621248809454,297.8200280640632,275.7540682580647,278.3419,1531405703.1120791,46264075916.59202
2022-09-26,2022-10-03,274.5382,289.4862,267.1560539635839,284.11223296856326,1488607486.213544,45101104782.531006
2022-09-19,2022-09-26,265.3031085692646,284.83440562984265,256.38272649510515,274.7299,1700596765.7071233,43609952440.64419
2022-09-12,2022-09-19,294.42142602630435,298.44334406881,264.5033,264.9806337245462,1526404780.583333,45370387613.88846
2022-09-05,2022-09-12,277.5276157603592,297.5967,260.1901818733637,294.3660461656784,1020424789.888889,45340059706.45155
2022-08-29,2022-09-05,274.4547,290.4577,271.3899,277.43457886680545,981921786.9447348,45007445134.39572
2022-08-22,2022-08-29,300.7435116648627,303.59976915950176,273.50130217545404,275.2892,1325008599.7222223,47039375317.49785
2022-08-15,2022-08-22,316.9793809081766,325.7625,277.7223103101494,300.76488781006594,1471600117.7878435,49114573206.84254
2022-08-08,2022-08-15,321.62106381112227,334.8164,312.9892,317.17162758897547,1943100353.0416665,52386347701.90477
2022-08-01,2022-08-08,283.2522,323.2714512891204,275.03347731979915,321.6313252716129,2339877979.696477,48202692492.00348
2022-07-25,2022-08-01,261.4705860081164,299.84866635693754,240.17551471555964,283.0109,2136087949.6744096,43397495212.88782
2022-07-18,2022-07-25,247.24644645803303,273.9112,247.24644645803303,261.87320719206866,2092401848.2463531,42370996340.74236
2022-07-11,2022-07-18,234.3506672158281,254.39928012930127,217.2073474443239,247.25796775195343,1797951599.4012775,38187172323.09978
2022-07-04,2022-07-11,218.765,245.27226975713955,214.9995,234.45296296350165,1699150098.6137092,38097920736.93472
2022-06-27,2022-07-04,233.313,239.9295,206.337005655566,218.7833,1629729144.6772163,36574116783.85296
2022-06-20,2022-06-27,214.7469,243.78772251046203,205.2207279651199,233.5608,2007396299.5339394,36633109999.73546
2022-06-13,2022-06-20,255.2726879030716,257.29858727139964,185.5211056870471,214.6598,3208842636.3748617,35770904656.91054
2022-06-06,2022-06-13,300.2607637257838,312.1144,252.5379,256.2934968734611,2185215434.999613,48046844094.66261
2022-05-30,2022-06-06,306.1559,323.6505775759332,295.1713872819333,299.8412757023355,2157826934.3148613,51511476132.61193
2022-05-23,2022-05-30,319.1351029922416,336.1072,292.3154,306.0039,2942710391.5164537,52732044478.31846
2022-05-16,2022-05-23,311.95754016004025,321.9554883277494,288.3813,319.73128675714315,2194408584.9275484,50684053316.96393
2022-05-09,2022-05-16,355.9410138276675,358.8995,216.4165,311.97634225698096,4863328626.269945,50585035709.00091
2022-05-02,2022-05-09,390.0279,411.21698186068267,351.308,354.71577022836425,2144349016.032645,63866761693.12133
2022-04-25,2022-05-02,399.3445339282293,409.9172,377.8266216048991,390.6369,2509170213.529574,65766854663.095535
2022-04-18,2022-04-25,406.9064,430.1198,397.1513049202381,399.1807034381802,2439451895.549571,68591291623.27096
2022-04-11,2022-04-18,419.3615,426.1632,392.8311,407.1854,2350979230.6201105,68907236642.7296
2022-04-04,2022-04-11,450.339095021001,459.5896954140402,418.1915761295007,426.7719365109375,2830559273.3610144,72735799125.95102
2022-03-28,2022-04-04,430.66216133062267,455.1797,416.0425083462051,449.61598910250586,3131680410.418893,73148832111.54135
2022-03-21,2022-03-28,391.0863633893854,430.7179376224528,386.8799877847934,430.7179376224528,2048863902.3703058,67827524216.49859
2022-03-14,2022-03-21,361.9784754533501,405.9263947499032,360.5125,391.1051564669917,1720635893.8888888,63660209584.55531
2022-03-07,2022-03-14,375.0807061656718,401.2064222530013,361.5196595366034,362.1629989371535,2040613554.2777777,63056594466.126335
2022-02-28,2022-03-07,361.0527453345156,418.3691411428646,358.37593567368555,375.21797156298845,2307886260.439973,64981475558.479614
2022-02-21,2022-02-28,380.8381595937028,393.297,325.135390795548,361.4848226879875,2390526144.7777777,61632559883.18244
2022-02-14,2022-02-21,398.2289,436.1595,376.55902828046703,381.33758185959465,2015204076.1244147,67924633471.58102
2022-02-07,2022-02-14,419.9535953864369,444.711584343492,394.0331,399.4705,2156886723.1666665,69604839105.86563
2022-01-31,2022-02-07,378.332,430.18187606404535,360.4316762976232,418.77522636619375,1999727272.666667,64469191156.75066
2022-01-24,2022-01-31,383.9316,399.6658,338.1489,378.6025,2843832034.700348,62692153980.53481
2022-01-17,2022-01-24,498.4620221934122,498.4848701890812,341.8389,383.4326,3175563898.5381703,73427250208.98222
2022-01-10,2022-01-17,438.6067071535212,504.7853,409.4346653307573,498.4593027058392,2809293272.617499,77822039536.49146
2022-01-03,2022-01-10,531.4053,532.1991,419.526,438.72597812456434,2658347569.2222223,80722749778.60129
2022-01-01,2022-01-03,511.6325632017036,532.7722,511.6325632017036,531.5458,2035017442.222222,86905539533.80458
