"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2023","0.07957","0.08692","0.10124","0.07845","2.26B","-8.46%"
"24/12/2023","0.08692","0.09109","0.09499","0.08326","1.78B","-4.58%"
"17/12/2023","0.09109","0.08010","0.09412","0.07268","2.21B","13.72%"
"10/12/2023","0.08010","0.07441","0.08839","0.06750","2.64B","7.64%"
"03/12/2023","0.07441","0.06250","0.07749","0.06120","1.95B","19.06%"
"26/11/2023","0.06250","0.06351","0.06391","0.05929","901.58M","-1.71%"
"19/11/2023","0.06359","0.06161","0.06782","0.05799","1.76B","3.21%"
"12/11/2023","0.06162","0.06206","0.06812","0.05667","2.63B","-0.78%"
"05/11/2023","0.06210","0.05570","0.06441","0.05480","2.09B","11.50%"
"29/10/2023","0.05570","0.05186","0.05670","0.05021","2.03B","7.39%"
"22/10/2023","0.05186","0.04901","0.05431","0.04832","1.99B","5.82%"
"15/10/2023","0.04901","0.04681","0.04948","0.04570","981.10M","4.71%"
"08/10/2023","0.04681","0.04828","0.04830","0.04502","660.75M","-3.05%"
"01/10/2023","0.04828","0.04980","0.05190","0.04775","957.34M","-3.04%"
"24/09/2023","0.04980","0.05201","0.05210","0.04880","563.46M","-4.26%"
"17/09/2023","0.05201","0.05179","0.05210","0.04901","640.00M","0.43%"
"10/09/2023","0.05179","0.04902","0.05291","0.04532","1.75B","5.65%"
"03/09/2023","0.04902","0.04972","0.05099","0.04776","1.08B","-1.39%"
"27/08/2023","0.04971","0.05792","0.05950","0.04779","1.63B","-14.17%"
"20/08/2023","0.05792","0.06531","0.06625","0.05639","2.15B","-11.29%"
"13/08/2023","0.06529","0.05640","0.07541","0.05251","4.52B","15.77%"
"06/08/2023","0.05640","0.05250","0.06379","0.05240","1.87B","7.42%"
"30/07/2023","0.05250","0.05381","0.05452","0.05068","1.03B","-2.42%"
"23/07/2023","0.05381","0.05362","0.05481","0.05090","772.12M","0.37%"
"16/07/2023","0.05361","0.05210","0.06129","0.05009","1.84B","2.88%"
"09/07/2023","0.05210","0.04700","0.05440","0.04590","874.22M","10.86%"
"02/07/2023","0.04700","0.05072","0.05150","0.04569","695.81M","-7.32%"
"25/06/2023","0.05072","0.05120","0.05803","0.04745","1.03B","-0.95%"
"18/06/2023","0.05120","0.04580","0.05360","0.04422","1.50B","11.79%"
"11/06/2023","0.04580","0.04542","0.04780","0.04200","960.63M","0.84%"
"04/06/2023","0.04542","0.05022","0.05090","0.04007","687.68M","-9.56%"
"28/05/2023","0.05022","0.05201","0.05399","0.04998","514.49M","-3.44%"
"21/05/2023","0.05201","0.05291","0.05310","0.04980","376.05M","-1.71%"
"14/05/2023","0.05291","0.05131","0.05369","0.05101","408.70M","3.12%"
"07/05/2023","0.05131","0.05690","0.05740","0.04990","608.16M","-9.83%"
"30/04/2023","0.05690","0.06070","0.06558","0.05570","807.24M","-6.26%"
"23/04/2023","0.06070","0.06108","0.06336","0.05846","617.86M","-0.62%"
"16/04/2023","0.06108","0.06802","0.06972","0.05882","1.10B","-10.31%"
"09/04/2023","0.06810","0.06471","0.06972","0.06280","1.00B","5.23%"
"02/04/2023","0.06471","0.07060","0.07780","0.06450","1.30B","-8.32%"
"26/03/2023","0.07059","0.06020","0.07659","0.05700","2.15B","17.25%"
"19/03/2023","0.06020","0.06240","0.06639","0.05888","1.01B","-3.53%"
"12/03/2023","0.06240","0.05820","0.06830","0.05579","1.25B","7.22%"
"05/03/2023","0.05820","0.06441","0.06599","0.05431","812.94M","-9.65%"
"26/02/2023","0.06441","0.07491","0.07619","0.06190","755.77M","-14.01%"
"19/02/2023","0.07491","0.08641","0.09199","0.07238","1.01B","-13.32%"
"12/02/2023","0.08642","0.08809","0.09860","0.07909","2.07B","-1.91%"
"05/02/2023","0.08810","0.07321","0.09041","0.06700","1.94B","20.34%"
"29/01/2023","0.07321","0.06681","0.07779","0.06230","1.06B","9.58%"
"22/01/2023","0.06681","0.07179","0.07332","0.06216","1.02B","-6.70%"
"15/01/2023","0.07161","0.05319","0.07981","0.05010","1.78B","34.86%"
"08/01/2023","0.05310","0.03960","0.05371","0.03900","947.44M","34.09%"
"01/01/2023","0.03960","0.03639","0.03999","0.03630","536.95M","8.52%"
"25/12/2022","0.03649","0.04380","0.04430","0.03579","464.66M","-16.69%"
"18/12/2022","0.04380","0.04300","0.04430","0.04010","236.18M","1.86%"
"11/12/2022","0.04300","0.04831","0.04889","0.04099","438.96M","-10.99%"
