"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2023","0.56791","0.62073","0.63938","0.50211","4.15B","-8.51%"
"24/12/2023","0.62073","0.61951","0.65693","0.60291","3.71B","0.19%"
"17/12/2023","0.61952","0.62035","0.63102","0.58144","3.41B","-0.13%"
"10/12/2023","0.62035","0.65848","0.67098","0.59498","3.74B","-5.79%"
"03/12/2023","0.65848","0.61902","0.69942","0.59105","4.27B","6.37%"
"26/11/2023","0.61904","0.62247","0.63661","0.59391","2.71B","-0.56%"
"19/11/2023","0.62254","0.61061","0.62858","0.57367","2.93B","1.96%"
"12/11/2023","0.61058","0.66275","0.74785","0.58659","3.81B","-7.87%"
"05/11/2023","0.66275","0.61506","0.73170","0.61405","5.93B","7.75%"
"29/10/2023","0.61507","0.54461","0.62500","0.54101","4.41B","12.94%"
"22/10/2023","0.54461","0.52108","0.58392","0.51320","4.40B","4.51%"
"15/10/2023","0.52109","0.48651","0.53142","0.47770","3.06B","7.11%"
"08/10/2023","0.48651","0.52152","0.52339","0.47460","2.16B","-6.71%"
"01/10/2023","0.52152","0.51481","0.54704","0.50643","2.79B","1.30%"
"24/09/2023","0.51482","0.50760","0.54626","0.49191","3.29B","1.42%"
"17/09/2023","0.50760","0.49969","0.52487","0.48857","2.75B","1.58%"
"10/09/2023","0.49969","0.50380","0.50656","0.46236","2.90B","-0.82%"
"03/09/2023","0.50379","0.49885","0.51263","0.49194","2.57B","1.00%"
"27/08/2023","0.49883","0.52312","0.54751","0.48807","3.51B","-4.64%"
"20/08/2023","0.52309","0.51999","0.55541","0.50483","4.30B","0.60%"
"13/08/2023","0.51999","0.62758","0.63821","0.43345","5.80B","-17.12%"
"06/08/2023","0.62743","0.62878","0.66526","0.60025","3.77B","-0.22%"
"30/07/2023","0.62879","0.71207","0.73350","0.61207","3.98B","-11.70%"
"23/07/2023","0.71207","0.73293","0.75127","0.67541","3.79B","-2.84%"
"16/07/2023","0.73291","0.71452","0.84894","0.70526","6.30B","2.57%"
"09/07/2023","0.71453","0.47042","0.92144","0.46378","8.59B","51.89%"
"02/07/2023","0.47042","0.47311","0.49556","0.45856","2.63B","-0.61%"
"25/06/2023","0.47329","0.48660","0.49696","0.45075","2.98B","-2.74%"
"18/06/2023","0.48660","0.47940","0.52700","0.47303","3.26B","1.50%"
